all,Bg Long,address,Bg Lat,latitude,longitude
McDonald's,-81.702815,"3211 Clark Ave, Cleveland, OH 44109",41.447466,41.447466,-81.702815
McDonald's,-81.690755,"8950 Euclib Ave, Cleveland, OH 44101",41.504747,41.504747,-81.690755
McDonald's,-81.399732,"36212 Euclid Avenue, Willoughby, OH 44094",41.62615,41.62615,-81.399732
McDonald's,-81.736352,"4830 Ridge Rd, Cleveland, OH 44144",41.437251,41.437251,-81.736352
McDonald's,-83.756488,"Cumberland Ave, Middlesboro, KY 40965",36.61096,36.61096,-83.756488
McDonald's,-83.472789,"180 Veterans Blvd, Bryson City, NC 28713",35.408031,35.408031,-83.472789
McDonald's,-83.649176,"New Tazewell, TN 37825",36.418745,36.418745,-83.649176
McDonald's,-83.284304,"3624 Roy Messer Hwy, White Pine, TN 37890",36.08783,36.08783,-83.284304
McDonald's,-84.255264,"841 Oak Ridge Tpke, Oak Ridge, TN 37830",36.01478,36.01478,-84.255264
McDonald's,-83.981759,"1030 Hunters Xing, Alcoa, TN 37701",35.791903,35.791903,-83.981759
McDonald's,-83.92068,"Millertown Walmart Inside, Knoxville, TN 37901",35.960584,35.960584,-83.92068
McDonald's,-85.981903,"483 Gordonsville Hwy, Gordonsville, TN 38563",36.182015,36.182015,-85.981903
McDonald's,-87.036922,"110 Bear Creek Pike, Columbia, TN 38401",35.619781,35.619781,-87.036922
McDonald's,-86.454895,"Po Box 350, Gallatin, TN 37066",36.385379,36.385379,-86.454895
McDonald's,-86.775335,"410 Old Hickory Blvd, Brentwood, TN 37027",36.003695,36.003695,-86.775335
McDonald's,-86.663893,"154 McGavock Pike, Nashville, TN 37214",36.165149,36.165149,-86.663893
McDonald's,-97.963514,"14830 Lytle-Somerset Rd, Hondo, TX 78861",29.56341,29.56341,-97.963514
McDonald's,-87.76,"5600 N Menard Ave, Chicago, IL 60646",42,42,-87.76
McDonald's,-98.709193,"8036 Fm 2673, Canyon Lake, TX 78133",29.816972,29.816972,-98.709193
McDonald's,-87.87,"9449 Irving Park Rd, Schiller Park, IL 60176",41.96,41.96,-87.87
McDonald's,-98.410757,"11482 Perrin Beitel Rd, San Antonio, TX 78217",29.578656,29.578656,-98.410757
McDonald's,-98.523505,"4241 Woodcock Dr, San Antonio, TX 78228",29.423659,29.423659,-98.523505
McDonald's,-98.522743,"9800 Airport Blvd, San Antonio, TX 78216",29.512693,29.512693,-98.522743
McDonald's,-98.49262,"7300 Blanco Rd Ste 302, San Antonio, TX 78216",29.534284,29.534284,-98.49262
McDonald's,-98.456737,"721 San Pedro Ave, San Antonio, TX 78212",29.488785,29.488785,-98.456737
McDonald's,-98.470464,"9151 Fm 78, Converse, TX 78109",29.58508,29.58508,-98.470464
McDonald's,-81.884646,"330 Valley Hi Dr, San Antonio, TX 78227",29.63801,29.63801,-81.884646
McDonald's,-82.096279,"State Highway 16, Saint Augustine, FL 32080",29.943758,29.943758,-82.096279
McDonald's,-81.825339,"1310 Uss Daniel Boone Ave, Kings Bay, GA 31547",30.558729,30.558729,-81.825339
McDonald's,-81.596584,"542361 Us Highway 1, Callahan, FL 32011",30.094173,30.094173,-81.596584
McDonald's,-81.787852,"1625 County Road 210 W, Jacksonville, FL 32259",30.143043,30.143043,-81.787852
McDonald's,-81.495763,"11230 Saint Augustine Rd, Jacksonville, FL 32257",30.349197,30.349197,-81.495763
McDonald's,-81.587943,"7245 Merrill Rd, Jacksonville, FL 32277",30.36525,30.36525,-81.587943
McDonald's,-81.584655,"5000 Highway Ave, Jacksonville, FL 32254",30.332745,30.332745,-81.584655
McDonald's,-81.754763,"3828 Bee Ridge Rd, Sarasota, FL 34233",28.001886,28.001886,-81.754763
McDonald's,-81.776808,"787 S Washington Blvd, Sarasota, FL 34236",27.75154,27.75154,-81.776808
McDonald's,-87.65,"12700 S Ashland Ave, Calumet Park, IL 60827",41.67,41.67,-87.65
McDonald's,-82.522064,"3511 Fruitville Rd, Sarasota, FL 34237",27.4031,27.4031,-82.522064
McDonald's,-87.96,"2111 Midwest Rd, Oak Brook, IL 60523",41.84,41.84,-87.96
McDonald's,-87.94,"920 N York St, Elmhurst, IL 60126",41.89,41.89,-87.94
McDonald's,-82.518568,"8164 N Tamiami Trl, Sarasota, FL 34243",27.446237,27.446237,-82.518568
McDonald's,-81.953831,"2835 S Florida Ave, Lakeland, FL 33803",28.137163,28.137163,-81.953831
McDonald's,-82.718034,"650 150th Ave, Madeira Beach, FL 33708",27.75781,27.75781,-82.718034
McDonald's,-82.128945,"2909 Us Highway 19, Tarpon Springs, FL 34691",28.017052,28.017052,-82.128945
McDonald's,-82.760148,"Desoto Sq Mall, Bradenton, FL 34201",27.852181,27.852181,-82.760148
McDonald's,-82.63932,"1250 Bay Ave, Clearwater, FL 33756",27.77132,27.77132,-82.63932
McDonald's,-87.62,"2001 W Chgo Ave, Chicago, IL 60601",41.89,41.89,-87.62
McDonald's,-87.62,"Ohare International Airport, Chicago, IL 60601",41.89,41.89,-87.62
McDonald's,-82.769856,"539 N Missouri Ave, Clearwater, FL 33755",28.025668,28.025668,-82.769856
McDonald's,-82.745093,"27643 State Road 54, Wesley Chapel, FL 33543",27.973762,27.973762,-82.745093
McDonald's,-82.769856,"7695 Ulmerton Rd, Largo, FL 33771",28.025668,28.025668,-82.769856
McDonald's,-82.745881,"5170 Park Blvd, Pinellas Park, FL 33781",28.002064,28.002064,-82.745881
McDonald's,-82.683677,"7001 19th Way N, Saint Petersburg, FL 33702",27.891461,27.891461,-82.683677
McDonald's,-111.748894,"Sun City West, AZ 85375",33.3638,33.3638,-111.748894
McDonald's,-111.759847,"16252 N 138th Ln, Surprise, AZ 85374",33.317562,33.317562,-111.759847
McDonald's,-87.95,"1100 W Irving Park Rd, Bensenville, IL 60106",41.95,41.95,-87.95
McDonald's,-111.748894,"6535 W Happy Valley Rd, Peoria, AZ 85310",33.3638,33.3638,-111.748894
McDonald's,-111.830879,"7017 N Litchfield Rd, Luke Afb, AZ 85307",33.315759,33.315759,-111.830879
McDonald's,-111.841212,"3111 W Chandler Blvd, Chandler, AZ 85226",33.3879,33.3879,-111.841212
McDonald's,-111.923614,"1460 W Southern Ave, Mesa, AZ 85202",33.3051,33.3051,-111.923614
McDonald's,-112.257069,"5060 W Cactus Rd, Phoenix, AZ 85304",33.531768,33.531768,-112.257069
McDonald's,-111.932191,"Po Box 4910, Scottsdale, AZ 85261",33.428101,33.428101,-111.932191
McDonald's,-112.122879,"2321 W Bethany Home Rd, Phoenix, AZ 85015",33.513019,33.513019,-112.122879
McDonald's,-112.090337,"6005 S Central Ave, Phoenix, AZ 85042",33.450905,33.450905,-112.090337
McDonald's,-88.01,"809 Plainfield Rd, Downers Grove, IL 60516",41.76,41.76,-88.01
McDonald's,-112.030193,"1733 W van Buren St, Phoenix, AZ 85007",33.702534,33.702534,-112.030193
McDonald's,-112.22067,"24 St & Osborn, Phoenix, AZ 85001",33.528107,33.528107,-112.22067
McDonald's,-112.176934,"3848 W Pinnacle Peak Rd, Phoenix, AZ 85310",33.62284,33.62284,-112.176934
McDonald's,-93.858573,"I-94, Monticello, MN 55362",45.17614,45.17614,-93.858573
McDonald's,-92.985798,"141 Bridge Ave W, Delano, MN 55328",45.269846,45.269846,-92.985798
McDonald's,-93.49725,"13020 Riverdale Dr NW, Minneapolis, MN 55448",44.776722,44.776722,-93.49725
McDonald's,-93.252029,"3231 Northdale Blvd NW, Coon Rapids, MN 55448",45.158779,45.158779,-93.252029
McDonald's,-93.273599,"2410 W Industrial Blvd, Long Lake, MN 55356",44.76771,44.76771,-93.273599
McDonald's,-93.49725,"14200 Grand Ave, Burnsville, MN 55337",44.776722,44.776722,-93.49725
McDonald's,-93.580856,"9530 Black Oaks Ln N, Maple Grove, MN 55311",44.900372,44.900372,-93.580856
McDonald's,-87.79,"15920 Harlem Ave, Tinley Park, IL 60477",41.58,41.58,-87.79
McDonald's,-93.011181,"8101 Old Carriage Ct, Shakopee, MN 55379",45.080369,45.080369,-93.011181
McDonald's,-93.208004,"822 Highway 55, Hamel, MN 55340",45.171149,45.171149,-93.208004
McDonald's,-93.301244,"1759 Weir Dr, Saint Paul, MN 55125",45.187199,45.187199,-93.301244
McDonald's,-88,"2010 E Higgins Rd, Elk Grove Village, IL 60007",42.01,42.01,-88
McDonald's,-93.038072,"2730 Minnehaha Ave E, Maplewood, MN 55119",44.84173,44.84173,-93.038072
McDonald's,-93.003154,"2935 Southlawn Dr, Maplewood, MN 55109",44.951936,44.951936,-93.003154
McDonald's,-93.432813,"7088 E Fish Lake Rd, Osseo, MN 55311",44.86231,44.86231,-93.432813
McDonald's,-93.526839,"9000 85th Ave N, Brooklyn Park, MN 55445",44.964949,44.964949,-93.526839
McDonald's,-88.07,"3S010 Route 53, Glen Ellyn, IL 60137",41.9,41.9,-88.07
McDonald's,-87.95,"14298 S Bell Rd, Homer Glen, IL 60491",41.61,41.61,-87.95
McDonald's,-93.136637,"850 County Road E E, Vadnais Heights, MN 55127",44.804584,44.804584,-93.136637
McDonald's,-93.377549,"1351 Town Centre Dr, Saint Paul, MN 55123",45.110569,45.110569,-93.377549
McDonald's,-93.378233,"1995 Silver Bell Rd, Saint Paul, MN 55122",45.061039,45.061039,-93.378233
McDonald's,-93.101587,"7685 W Broadway Ave, Minneapolis, MN 55428",44.90203,44.90203,-93.101587
McDonald's,-93.091828,"1480 85th Ave N, Minneapolis, MN 55444",44.951331,44.951331,-93.091828
McDonald's,-93.433603,"2020 Dodd Rd, Saint Paul, MN 55120",44.957503,44.957503,-93.433603
McDonald's,-93.091828,"Saint Paul, MN 55101",44.951331,44.951331,-93.091828
McDonald's,-93.091828,"4637 Shady Oak Rd S, Hopkins, MN 55343",44.951331,44.951331,-93.091828
McDonald's,-93.38215,"1313 County Road E W, Saint Paul, MN 55112",45.007216,45.007216,-93.38215
